Experiment-1, Experiment-2, Experiment-3,  Experiment-4, Experiment-5, Experiment-6
0.409^{* * *} , 0.362^{* * *} , 0.420^{* * *} , 0.333^{* * *} , 0.207^{* * *} , 0.141^{* *} 
(0.088) , (0.127) , (0.061) , (0.079) , (0.074) , (0.069) 
-0.265^* , -0.253 , -0.246^{* *} , 0.069 , 0.197 , 0.009 
(0.145) , (0.155) , (0.118) , (0.275) , (0.218) , (0.193) 
-0.590^{* *} , -0.615^{* * *} , -0.702^{* *} , -0.379 , -0.289 , -0.393 
(0.224) , (0.219) , (0.281) , (0.273) , (0.475) , (0.468) 
-0.188 , -0.200 , -0.189 , -0.061 , -0.178 , -0.166 
(0.372) , (0.334) , (0.363) , (0.402) , (0.305) , (0.281) 
0.108 , 0.074 , 0.045 , 0.084 , -0.249 , -0.237 
(0.078) , (0.084) , (0.089) , (0.087) , (0.159) , (0.163) 
-0.100 , -0.007 , -0.137^{* *} , -0.110 , -0.119 , -0.048 
(0.068) , (0.029) , (0.068) , (0.069) , (0.088) , (0.119) 
-0.371^{* * *} , -0.231^{* * *} , -0.387^{* * *} , -0.229^{* *} , 0.025 , 0.126 
(0.043) , (0.074) , (0.075) , (0.091) , (0.104) , (0.076) 
-0.195^{* *} , -0.134 , -0.331^{* *} , -0.066 , 0.048 , 0.082 
(0.075) , (0.115) , (0.132) , (0.114) , (0.124) , (0.161)
-0.048 , -0.079 , 0.073 , -0.066 , 0.119 , 0.103 
(0.106) , (0.131) , (0.074) , (0.121) , (0.090) , (0.105) 
0.033 , 0.045 , 0.019 , -0.058 , 0.057 , 0.053 
(0.086) , (0.081) , (0.119) , (0.078) , (0.105) , (0.109) 
0.285 , 0.187 , 0.182 , 0.139 , -0.362 , -0.399^* 
(0.191) , (0.200) , (0.212) , (0.204) , (0.242) , (0.235)